=== AMD SCF random

2	8	1.121794	0	0	0.000518	100.000000	60.796174	9.219781	8.142216	8.213187	7.661110	6.656140	5.546278	4.589466	4.072463	
2	16	2.050889	0	0	0.002337	100.000000	60.955932	9.280486	8.701332	8.248894	7.464227	6.446340	4.989747	4.295912	3.913639	
2	24	2.982803	0	0	0.008028	100.000000	60.515084	8.623382	7.128223	6.740388	6.052053	4.541657	3.817411	3.311160	3.065934	
2	32	3.922496	0	0	0.018759	100.000000	60.981246	8.119796	5.531177	5.576654	5.450126	4.440012	3.685065	3.056404	2.826267	
4	8	1.317622	0	0	0.015618	100.000000	60.992738	8.477371	7.046080	7.547420	6.375417	4.613851	4.077503	3.546296	3.338053	
4	16	2.167612	0	0	0.203907	100.000000	60.876688	9.375773	8.431164	8.484364	8.023672	6.824495	5.342457	4.422595	4.154486	
4	24	3.023288	0	0	0.646275	100.000000	60.740682	9.403234	8.753175	8.308965	7.581118	6.386928	5.203436	4.342408	3.933409	
4	32	3.852732	0	0	1.298727	100.000000	60.627027	9.432329	8.811483	8.362588	7.522842	6.451555	5.299456	4.448986	3.941384	
8	8	1.659522	0	0	1.548437	100.000000	60.448721	8.283969	5.917501	5.547695	5.470303	4.506028	3.530593	2.959276	2.818801	
8	16	2.585428	0	0	10.173154	99.973335	57.326958	8.770225	7.048951	6.683301	5.643579	4.897165	3.876221	3.308090	2.893614	
8	24	3.470809	0	0	19.913385	99.866661	53.024038	8.582383	6.961313	7.119620	6.094766	5.308288	4.219762	3.749986	3.334114	
8	32	4.336671	0	0	28.417308	99.813339	49.349705	7.250518	4.602876	4.549241	4.391805	3.777021	3.275153	2.840239	2.578269	
12	8	1.553835	0	0	4.166044	100.000000	60.348981	8.284602	5.731124	5.724163	5.611260	4.283896	3.714160	3.131965	2.881088	
12	16	2.502809	0	0	22.380444	99.953339	52.932705	8.117238	6.643169	7.049153	6.162099	4.949218	4.105791	3.517320	3.053355	
12	24	3.396277	0	0	38.029719	99.893333	46.041483	6.764913	4.124580	4.050854	3.951684	3.373508	2.974864	2.652197	2.471977	
12	32	4.280212	0	0	49.456223	99.846664	39.775777	5.991061	4.141190	4.430624	4.132437	3.615107	3.058582	2.621522	2.383595	
16	8	1.974289	0	0	36.696223	99.646667	47.474288	7.011858	4.221671	4.150210	4.041902	3.518826	3.053467	2.736096	2.513699	
16	16	2.979767	0	0	71.921983	98.233337	26.766582	3.754969	2.180295	2.026829	2.186531	2.005242	1.929968	1.725291	1.512552	
16	24	3.878122	0	0	84.039744	97.180000	18.005156	2.530294	1.384866	1.106343	0.995639	0.973867	0.903176	0.910184	0.876206	
